2019/11/19 10:31:15 UTC [603407]: Fin plots w R LEBZ
2019/11/19 10:31:17 UTC [603407]: Ini plots w R LEAL
2019/11/19 10:31:17 UTC [603407]: Fin plots w R LEAL
2019/11/19 10:31:19 UTC [603407]: Ini plots w R LEIB
2019/11/19 10:31:20 UTC [603407]: Fin plots w R LEIB
2019/11/19 10:31:22 UTC [603407]: Ini plots w R LEZL
2019/11/19 10:31:23 UTC [603407]: Fin plots w R LEZL
2019/11/19 10:31:24 UTC [603407]: Ini plots w R LEMO
2019/11/19 10:31:25 UTC [603407]: Fin plots w R LEMO
2019/11/19 10:31:27 UTC [603407]: Ini plots w R LEBA
2019/11/19 10:31:28 UTC [603407]: Fin plots w R LEBA
2019/11/19 10:31:29 UTC [603407]: Ini plots w R LEGR
2019/11/19 10:31:30 UTC [603407]: Fin plots w R LEGR
2019/11/19 10:31:31 UTC [603407]: Ini plots w R LERI
2019/11/19 10:31:32 UTC [603407]: Fin plots w R LERI
2019/11/19 10:31:34 UTC [603407]: Ini plots w R LELC
2019/11/19 10:31:35 UTC [603407]: Fin plots w R LELC
2019/11/19 10:31:36 UTC [603407]: Ini plots w R LERT
2019/11/19 10:31:37 UTC [603407]: Fin plots w R LERT
2019/11/19 10:31:38 UTC [603407]: Ini plots w R LEJR
2019/11/19 10:31:39 UTC [603407]: Fin plots w R LEJR
2019/11/19 10:31:41 UTC [603407]: Ini plots w R LEMG
2019/11/19 10:31:42 UTC [603407]: Fin plots w R LEMG
2019/11/19 10:31:44 UTC [603407]: Ini plots w R LEAM
2019/11/19 10:31:45 UTC [603407]: Fin plots w R LEAM
2019/11/19 10:31:45 UTC [603407]: Ini plots w R LEGA
2019/11/19 10:31:46 UTC [603407]: Fin plots w R LEGA
2019/11/19 10:31:48 UTC [603407]: Ini plots w R LELL
2019/11/19 10:31:49 UTC [603407]: Fin plots w R LELL
2019/11/19 10:31:50 UTC [603407]: Ini plots w R LEAO
2019/11/19 10:31:51 UTC [603407]: Fin plots w R LEAO
2019/11/19 10:31:51 UTC [603407]: Ini plots w R LERL
2019/11/19 10:31:52 UTC [603407]: Fin plots w R LERL
2019/11/19 10:31:54 UTC [603407]: Ini plots w R LEDA
2019/11/19 10:31:55 UTC [603407]: Fin plots w R LEDA
2019/11/19 10:31:57 UTC [603407]: Ini plots w R LEHC
2019/11/19 10:31:58 UTC [603407]: Fin plots w R LEHC
2019/11/19 10:31:59 UTC [603407]: Ini plots w R LETL
2019/11/19 10:32:00 UTC [603407]: Fin plots w R LETL
2019/11/19 10:32:02 UTC [603407]: Ini plots w R LECH
2019/11/19 10:32:03 UTC [603407]: Fin plots w R LECH
2019/11/19 10:32:04 UTC [603407]: Ini plots w R LESU
2019/11/19 10:32:05 UTC [603407]: Fin plots w R LESU
2019/11/19 10:32:06 UTC [603407]: Ini plots w R LEMI
2019/11/19 10:32:07 UTC [603407]: Fin plots w R LEMI
2019/11/19 10:32:09 UTC [603407]: Ini plots w R LESB
2019/11/19 10:32:10 UTC [603407]: Fin plots w R LESB
2019/11/19 10:32:12 UTC [603407]: Ini plots w R LEBR
2019/11/19 10:32:13 UTC [603407]: Fin plots w R LEBR
2019/11/19 10:32:14 UTC [603407]: Ini plots w R LETU
2019/11/19 10:32:15 UTC [603407]: Fin plots w R LETU
2019/11/19 10:32:17 UTC [603407]: Ini plots w R LEBT
2019/11/19 10:32:18 UTC [603407]: Fin plots w R LEBT
2019/11/19 10:32:19 UTC [603407]: Ini plots w R LEEC
2019/11/19 10:32:20 UTC [603407]: Fin plots w R LEEC
2019/11/19 10:32:21 UTC [603407]: Ini plots w R LEAG
2019/11/19 10:32:22 UTC [603407]: Fin plots w R LEAG
fin script predicciones
